title,description,publishedAt,url,category
Be careful what you read about an Elden Ring movie,"On Tuesday, a publication called Nexus Point News published a headline for what looked to be a major piece of entertainment news: “EXCLUSIVE: Alex Garland Set To Direct ‘Elden Ring’ Film For A24.” The article claimed that Elden Ring “is expected to be Garland…",2025-05-06T21:30:48Z,https://www.theverge.com/news/662200/elden-ring-movie-nexus-point-news-be-careful,entertainment
Trump Nominates Former N.E.A. Chair to Head Embattled Arts Agency,"The president nominated Mary Anne Carter to lead the National Endowment for the Arts, which his budget calls for eliminating and which has been withdrawing grants from arts groups.",2025-05-08T18:13:39Z,https://www.nytimes.com/2025/05/08/arts/trump-national-endowment-for-the-arts-carter.html,entertainment
"Amid Trump Cuts, Officials Resign From the National Endowment for the Arts",Senior officials announced their resignations after the Trump administration withdrew grants from arts organizations around the country.,2025-05-05T19:44:17Z,https://www.nytimes.com/2025/05/05/arts/national-endowment-for-the-arts-resignations.html,entertainment
On the Chopping Block: Arts and Humanities,The plan to eliminate the endowments for the arts and the humanities. Also: A threat to impose tariffs on movies made abroad.,2025-05-07T16:26:49Z,https://www.nytimes.com/2025/05/07/opinion/arts-humanities-nea-neh.html,entertainment
A Patron of the Arts in Denver Who Was ‘Saved by Collecting’,"About 10 years ago, Amanda Precourt turned her attention to buying art. She now sponsors shows and is opening an exhibition space in an old cookie factory.",2025-05-07T15:33:20Z,https://www.nytimes.com/2025/05/07/arts/design/amanda-precourt-mental-health.html,entertainment
A Small West African Country Has Big Artistic Dreams,"Guinea-Bissau, where there are virtually no art galleries, no art schools and little government funding for the arts, has just staged its first biennale.",2025-05-10T09:01:06Z,https://www.nytimes.com/2025/05/10/arts/guinea-bissau-art-biennale.html,entertainment
Trump’s Kennedy Center Would Get $257 Million in House Republican Plan,"A House committee proposed a huge increase in federal funding to repair and restore the center, which President Trump took over in February. Democrats have questions.",2025-05-06T21:00:05Z,https://www.nytimes.com/2025/05/06/arts/music/kennedy-center-budget-congress-trump.html,entertainment
Some ‘Les Misérables’ Cast Members Plan to Skip Trump Kennedy Center Gala,"Several members of the “Les Misérables” cast are said to be planning to boycott a gala performance at the Kennedy Center, which President Trump took over as chairman.",2025-05-07T23:18:17Z,https://www.nytimes.com/2025/05/07/arts/music/les-mis-boycott-trump-kennedy-center.html,entertainment
"Christo and Jeanne-Claude, Legendary Artists, Are Back in Spirit","Known for their outsized and revolutionary art projects, the couple’s work is seen again in Florida, New York and Germany.",2025-05-07T02:08:45Z,https://www.nytimes.com/2025/05/06/arts/design/art-museums-christo-jean-claude-revival.html,entertainment
Review: Will ‘The Death of Rasputin’ Have a Cult Following?,The immersive production on Governors Island is an attempt to fill the void left by “Sleep No More” and “Life and Trust.”,2025-05-08T09:01:34Z,https://www.nytimes.com/2025/05/08/theater/the-death-of-rasputin-review.html,entertainment
‘The United States vs Ulysses’ Review: The Case That Won’t Go Away,"When James Joyce’s masterpiece faced banning, the American justice system came to the rescue. A new play wonders if it would today.",2025-05-05T18:51:18Z,https://www.nytimes.com/2025/05/05/theater/the-united-states-vs-ulysses-review-the-case-that-wont-go-away.html,entertainment
Ancient example of printed text to be displayed in Melbourne: ‘It unites us all’,"A Japanese prayer scroll dating back more than 1,250 years has been acquired by the State Library of Victoria and will feature alongside other rare books items in an exhibition later this month",2025-05-12T15:00:16Z,https://www.theguardian.com/culture/2025/may/13/ancient-example-of-printed-text-to-be-displayed-in-melbourne-it-unites-us-all,entertainment
Arts groups for people of color steel themselves after Trump’s NEA cuts: ‘They poked the bear’,"Trump’s slashing of millions in National Endowment for the Arts grants has most affected non-profits centering Black, brown and LGBTQ+ communities",2025-05-11T11:00:22Z,https://www.theguardian.com/culture/2025/may/11/trump-nea-funding-cuts-arts,entertainment
