title,description,publishedAt,url,category
"Amazon Just Slashed the Price of This Ultra-Quiet Air Purifier, Now at an All-Time Low","With rising temperatures and increasing pollution, an air purifier has become essential for maintaining good health.",2025-05-10T13:10:16Z,https://gizmodo.com/amazon-just-slashed-the-price-of-this-ultra-quiet-air-purifier-now-at-an-all-time-low-2000600494,health
Why Patients Are Being Forced to Switch to a 2nd-Choice Obesity Drug,CVS Caremark decided to stop offering Zepbound in favor of Wegovy for weight loss. It’s the latest example of limits imposed by insurance that disrupt treatments for patients.,2025-05-11T22:01:08Z,https://www.nytimes.com/2025/05/11/health/zepbound-wegovy-weight-loss-drugs.html,health
How a Sheep-Herding Cardiologist Spends His Sundays,Dr. David Slotwiner de-stresses from a busy week at his Queens hospital by escaping to a New Jersey farm to herd sheep with his Border collies.,2025-05-10T07:00:10Z,https://www.nytimes.com/2025/05/10/nyregion/sheep-herding-cardiologist.html,health
What to Know About the Hepatitis A Outbreak in L.A. County,A highly contagious liver infection is surging among groups who are not typically at risk. At least seven people have died.,2025-05-09T21:46:48Z,https://www.nytimes.com/2025/05/09/health/hepatitis-a-los-angeles.html,health
Local Officials Brace for Loss of Disaster Preparedness Funding,The C.D.C. delivered $750 million annually to state and local health departments for emergency work. The program was eliminated in the Trump administration’s budget blueprint.,2025-05-09T19:28:28Z,https://www.nytimes.com/2025/05/09/health/cdc-emergency-preparedness-funding.html,health
The $200 Billion Gamble: Bill Gates’s Plan to Wind Down His Foundation,"In a wide-ranging interview, he explains his decision — amid the Trump administration’s assault on foreign aid — to accelerate the end of his giving.",2025-05-08T12:17:31Z,https://www.nytimes.com/2025/05/08/magazine/bill-gates-foundation-closing-2045.html,health
What to Know About Bill Gates’s Plans to End His Foundation,"The billionaire philanthropist says he will accelerate his giving — but then dissolve his organization in 20 years, decades earlier than he originally planned.",2025-05-08T12:15:04Z,https://www.nytimes.com/2025/05/08/magazine/bill-gates-foundation-shutdown-takeaways.html,health
Scientists Hail This Medical Breakthrough. A Political Storm Could Cripple It.,"Therapies involving mRNA, a key to Covid vaccines, hold great potential in treating several diseases, but some lawmakers want to ban them and the government is cutting funding.",2025-05-08T09:02:22Z,https://www.nytimes.com/2025/05/08/us/mrna-vaccines-backlash-covid.html,health
"5 Questions About mRNA Vaccines, Answered","We asked experts about how the technology works, its safety and its potential in medicine.",2025-05-08T09:00:43Z,https://www.nytimes.com/2025/05/08/well/mrna-vaccines-safety.html,health
"Migrants Are Skipping Medical Care, Fearing ICE, Doctors Say","They are finding that people who have been assaulted, or who have serious conditions like diabetes or a high-risk pregnancy, are skipping or delaying care.",2025-05-08T09:00:22Z,https://www.nytimes.com/2025/05/08/health/migrants-health-care-trump.html,health
