title,description,publishedAt,url,category,cleaned_text
Scary Survey Results: Teen Drivers Are Often Looking at Their Phones,"New troubling research found that entertainment is the most common reason teens use their phones behind the wheel, followed by texting and navigation.",2025-07-03T04:01:03Z,https://www.cnet.com/tech/mobile/scary-survey-results-teen-drivers-are-always-looking-at-their-phones/,entertainment,scary survey result teen driver often looking phone new troubling research found entertainment common reason teen use phone behind wheel followed texting navigation
A Group of Young Cybercriminals Poses the ‘Most Imminent Threat’ of Cyberattacks Right Now,"The Scattered Spider hacking group has caused chaos among retailers, insurers, and airlines in recent months. Researchers warn that its flexible structure poses challenges for defense.",2025-07-02T17:56:04Z,https://www.wired.com/story/scattered-spider-most-imminent-threat/,entertainment,group young cybercriminals pose ‘most imminent threat’ cyberattacks right scattered spider hacking group caused chaos among retailer insurer airline recent month researcher warn flexible structure pose challenge defense
"LG Gram 17 Touchscreen Laptop Copilot+ PC Is $3,000 Off, This 5-Star 2025 Model at 60% Off Is Going Fast",Save 60% on the LG Gram 17 touchscreen laptop for a limited time at Amazon.,2025-07-02T15:10:45Z,https://gizmodo.com/lg-gram-17-touchscreen-laptop-copilot-pc-is-3000-off-this-5-star-2025-model-at-60-off-is-going-fast-2000622898,entertainment,lg gram 17 touchscreen laptop copilot pc 3000 5star 2025 model 60 going fast save 60 lg gram 17 touchscreen laptop limited time amazon
'I have his word' - Fury coming back in 2026 says Saudi supremo,"Former world heavyweight champion Tyson Fury will come out of retirement in 2026, Saudi boxing power broker Turki Alalshikh hints.",2025-07-02T22:04:08Z,https://www.bbc.com/sport/boxing/articles/c79qlxee70jo,entertainment,word fury coming back 2026 say saudi supremo former world heavyweight champion tyson fury come retirement 2026 saudi boxing power broker turki alalshikh hint
Dominique Thorne Breaks Down That Shocking ‘Ironheart’ Cliffhanger,Marvel Studios' latest series just dropped its final three episodes on Disney+.,2025-07-02T20:30:22Z,https://gizmodo.com/dominique-thorne-breaks-down-that-shocking-ironheart-cliffhanger-2000623456,entertainment,dominique thorne break shocking ‘ironheart’ cliffhanger marvel studio latest series dropped final three episode disney
Eyes of Wakanda's Sneak Peek Doesn't Clarify If Black Panther Will Show Up,"Once again, Marvel Animation is showcasing the fact that it’s been saving the MCU’s ass for years. A little over 2 ½ years after the Black Panther prequel show was announced, we finally get a sneak peek at how beautiful Eyes of Wakanda will be when the four-e…",2025-07-01T21:15:14Z,https://kotaku.com/black-panther-eyes-of-wakanda-marvel-animation-mcu-1851785467,entertainment,eye wakandas sneak peek doesnt clarify black panther show marvel animation showcasing fact it’s saving mcu’s as year little 2 ½ year black panther prequel show announced finally get sneak peek beautiful eye wakanda foure…
Scooter Braun to Step Down as CEO of HYBE America,Scooter Braun will step away from his role as CEO of HYBE America after four years heading the U.S. wing of the Korean entertainment giant.,2025-07-01T16:36:35Z,http://www.rollingstone.com/music/music-news/scooter-braun-leave-ceo-hybe-america-1235375913/,entertainment,scooter braun step ceo hybe america scooter braun step away role ceo hybe america four year heading u wing korean entertainment giant
Dead Take is an FMV horror with Midsomer Murders' Ben Starr and Casualty's Neil Newbon,"We all have things we liked that we didn't realise were considered a bit naff at the time, and for me that thing was FMV games. Well, I win. FMV games are back and cool again. Which, by extension, basically means Dragon's Lair was good. I don't make the rules…",2025-07-02T08:25:14Z,https://www.rockpapershotgun.com/dead-take-is-an-fmv-horror-with-midsomer-murders-ben-starr-and-casualtys-neil-newbon,entertainment,dead take fmv horror midsomer murder ben starr casualty neil newbon thing liked didnt realise considered bit naff time thing fmv game well win fmv game back cool extension basically mean dragon lair good dont make rules…
The NO FAKES Act Has Changed – And It’s So Much Worse,"A bill purporting to target the issue of misinformation and defamation caused by generative AI has mutated into something that could change the internet forever, harming speech and innovation from here on out. The Nurture Originals, Foster Art and Keep Entert…",2025-07-02T22:43:00Z,https://www.techdirt.com/2025/07/02/the-no-fakes-act-has-changed-and-its-so-much-worse/,entertainment,fake act changed – it’s much worse bill purporting target issue misinformation defamation caused generative ai mutated something could change internet forever harming speech innovation nurture original foster art keep entert…
"Timothée Chalamet, Shaquille O'Neal, Miley Cyrus and More to Receive Stars on Hollywood Walk of Fame","SummaryThe Hollywood Walk of Fame Class of 2026 includes a diverse group of major talents such as Miley Cyrus, Timothée Chalamet, Demi Moore and Shaquille O’NealHonorees span Motion Pictures (e.g., Emily Blunt, Rami Malek), Recordings (e.g., Angélique Kidjo),…",2025-07-03T04:27:44Z,https://hypebeast.com/2025/7/timothee-chalamet-shaquille-oneal-miley-cyrus-stars-hollywood-walk-of-fame-announcement,entertainment,timothée chalamet shaquille oneal miley cyrus receive star hollywood walk fame summarythe hollywood walk fame class 2026 includes diverse group major talent miley cyrus timothée chalamet demi moore shaquille o’nealhonorees span motion picture eg emily blunt ramus malek recording eg angélique kidjo…
