title,description,publishedAt,url,category,cleaned_text
"New plan will fundamentally rewire NHS, says PM","But nurses, doctors and health experts say that more funding and extra staff are needed to make it a reality.",2025-07-02T21:34:01Z,https://www.bbc.com/news/articles/cy5wpe9r1d6o,health,new plan fundamentally rewire nh say pm nurse doctor health expert say funding extra staff needed make reality
States sue Trump administration for sharing health data with DHS,California is leading 20 state attorneys general in a lawsuit seeking to block health officials from further sharing Medicaid data and DHS from using it for immigration enforcement.,2025-07-02T00:13:20Z,https://www.npr.org/2025/07/01/nx-s1-5453885/medicaid-data-immigration-dhs-lawsuit,health,state sue trump administration sharing health data dhs california leading 20 state attorney general lawsuit seeking block health official sharing medicaid data dhs using immigration enforcement
Scientists Uncover Exercise Lifehack: Go to Bed,New research has found that people who tuck into bed early tend to be more physically active the next day.,2025-07-02T16:00:38Z,https://gizmodo.com/scientists-uncover-exercise-lifehack-go-to-bed-2000623362,health,scientist uncover exercise lifehack go bed new research found people tuck bed early tend physically active next day
"How the megabill will limit health care access. And, plans to ease gun regulations","The House is set to vote on the GOP megabill today. It is set to make big changes that will limit health care access to Americans. And, the ATF plans to ease gun regulations.",2025-07-02T11:10:13Z,https://www.npr.org/2025/07/02/g-s1-75640/up-first-newsletter-senate-house-megabill-medicaid-atf-regulations,health,megabill limit health care access plan ease gun regulation house set vote gop megabill today set make big change limit health care access american atf plan ease gun regulation
Microsoft says its new health AI beat doctors in accurate diagnoses by a mile,"The AI system correctly solved 85.5% of medical cases in the study, outperforming 21 experienced doctors who averaged 20% accuracy.",2025-07-01T06:45:48Z,https://www.businessinsider.com/microsoft-ai-diagnosed-accurate-doctors-medicine-study-2025-7,health,microsoft say new health ai beat doctor accurate diagnosis mile ai system correctly solved 855 medical case study outperforming 21 experienced doctor averaged 20 accuracy
Hot weather continues in parts of England but temperatures cool elsewhere,More hot weather is forecast for parts of England but elsewhere in the UK it will be a cooler and cloudier day.,2025-07-01T07:15:13Z,https://www.bbc.com/news/articles/c79qqx1r5yyo,health,hot weather continues part england temperature cool elsewhere hot weather forecast part england elsewhere uk cooler cloudier day
Who are the welfare bill rebels? Find out how your MP voted,Check whether your MP voted for or against the Universal Credit and Personal Independence Payment Bill,2025-07-01T19:06:27Z,https://www.bbc.com/news/articles/c4g889ywy82o,health,welfare bill rebel find mp voted check whether mp voted universal credit personal independence payment bill
"RFK Jr. Says AI Will Approve New Drugs at FDA ‘Very, Very Quickly’","""We need to stop trusting the experts,"" Kennedy told Tucker Carlson.",2025-07-01T18:10:13Z,https://gizmodo.com/rfk-jr-says-ai-will-approve-new-drugs-at-fda-very-very-quickly-2000622778,health,rfk jr say ai approve new drug fda ‘very quickly’ need stop trusting expert kennedy told tucker carlson
Dozens killed in Israeli airstrike on seaside cafe in Gaza City,"Israeli forces killed at least 74 people in Gaza on Monday with airstrikes that left 30 dead at a seaside cafe, witnesses and health officials said. (AP...",2025-07-01T05:06:37Z,https://www.yahoo.com/news/dozens-killed-israeli-airstrike-seaside-050637307.html,health,dozen killed israeli airstrike seaside cafe gaza city israeli force killed least 74 people gaza monday airstrikes left 30 dead seaside cafe witness health official said ap
FDA vaccine official restricted COVID vaccine approvals against the advice of agency staff,The government’s top vaccine official working under Health Secretary Robert F. Kennedy Jr. recently restricted the approval of two COVID-19 vaccines...,2025-07-02T23:18:29Z,https://www.yahoo.com/news/fda-vaccine-official-restricted-covid-231829324.html,health,fda vaccine official restricted covid vaccine approval advice agency staff government’s top vaccine official working health secretary robert f kennedy jr recently restricted approval two covid19 vaccine
Whoop MG review: a big whoop for a small crowd,"The tragedy of a niche product is if it sees any success, two things will happen. First, rivals big and small will copy its ideas. Then, to combat that existential threat and appease investors, there'll be an appeal to the larger mass market. A handful of nic…",2025-07-02T15:58:48Z,https://www.theverge.com/fitness-tracker-review/696156/whoop-mg-review-wearables-fitness-tracker-health,health,whoop mg review big whoop small crowd tragedy niche product see success two thing happen first rival big small copy idea combat existential threat appease investor therell appeal larger mass market handful nic…
"Israel has agreed to conditions for 60-day Gaza ceasefire, Trump says","US president warns Hamas ""it will only get worse"" if they do not accept the deal.",2025-07-01T23:08:42Z,https://www.bbc.com/news/articles/cgkg4m0133po,health,israel agreed condition 60day gaza ceasefire trump say u president warns hamas get worse accept deal
Here's how millions of people could lose health insurance if Trump's tax bill becomes law,,2025-07-02T16:02:02Z,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_5fc8c7ee-3445-4ab9-bc10-5904b5a1de9b,health,here million people could lose health insurance trump tax bill becomes law nan
Deadly strike hits beach café in Gaza,The Hamas-run Gaza health ministry said at least 30 people were killed when a strike hit a beach café in Gaza. The Israeli military said that it was...,2025-07-01T00:06:29Z,https://www.yahoo.com/news/deadly-strike-hits-beach-caf-000629733.html,health,deadly strike hit beach café gaza hamasrun gaza health ministry said least 30 people killed strike hit beach café gaza israeli military said
RFK Jr. singled out one study to cut funds for global vaccines. Is that study valid?,"When RFK Jr. announced he would cut funds from Gavi, the Vaccine Alliance, he cited ""vaccine safety,"" referring to a 2017 study from Guinea-Bissau. We asked vaccine researchers to assess the study.",2025-07-01T18:27:46Z,https://www.npr.org/sections/goats-and-soda/2025/07/01/g-s1-74752/rfk-jr-vaccines-safety-gavi,health,rfk jr singled one study cut fund global vaccine study valid rfk jr announced would cut fund gavi vaccine alliance cited vaccine safety referring 2017 study guineabissau asked vaccine researcher assess study
Business Travel Is Evolving Faster Than Ever. We’ll Help You Navigate It,"Five years ago, work trips looked nothing like they do today. WIRED and Condé Nast Traveler have teamed up to tell you all you need to know to actually enjoy working on the go.",2025-07-02T13:00:00Z,https://www.wired.com/story/future-business-travel-editors-letter/,health,business travel evolving faster ever we’ll help navigate five year ago work trip looked nothing like today wired condé nast traveler teamed tell need know actually enjoy working go
A Group of Young Cybercriminals Poses the ‘Most Imminent Threat’ of Cyberattacks Right Now,"The Scattered Spider hacking group has caused chaos among retailers, insurers, and airlines in recent months. Researchers warn that its flexible structure poses challenges for defense.",2025-07-02T17:56:04Z,https://www.wired.com/story/scattered-spider-most-imminent-threat/,health,group young cybercriminals pose ‘most imminent threat’ cyberattacks right scattered spider hacking group caused chaos among retailer insurer airline recent month researcher warn flexible structure pose challenge defense
Former CDC officials warn proposed budget cuts could cost American lives in 2026,"Former CDC officials warn that proposed fiscal 2026 budget cuts would slash funding by 54%, threatening critical health programs and local departments across the U.S.",2025-07-02T23:15:21Z,https://abcnews.go.com/Health/former-cdc-officials-warn-proposed-budget-cuts-cost/story?id=123423470,health,former cdc official warn proposed budget cut could cost american life 2026 former cdc official warn proposed fiscal 2026 budget cut would slash funding 54 threatening critical health program local department across u
You're Probably Not Eating Enough of These 13 Kidney-Boosting Foods,You can support your kidneys by adding these nutrient-packed foods to your meals.,2025-07-01T11:00:11Z,https://www.cnet.com/health/nutrition/youre-probably-not-eating-enough-of-these-13-kidney-boosting-foods/,health,youre probably eating enough 13 kidneyboosting food support kidney adding nutrientpacked food meal
Garmin confirms what it will and won't share with Google Health Connect,"You'll soon get Garmin data in Health Connect, but not the full picture",2025-07-01T06:55:25Z,https://www.androidpolice.com/garmin-data-sharing-google-health-connect-details/,health,garmin confirms wont share google health connect youll soon get garmin data health connect full picture
Manifest Your Reality With a New Film From Corey Hughes and MEMORY,"MEMORY releases Your Final Meditation, a film by Corey Hughes that explores how an AI-powered mental health game taps into human emotions, blurring the line between self and screen Your Final Meditation, …",2025-07-01T20:29:58Z,http://coolhunting.com/tech/manifest-your-reality-with-a-new-film-from-corey-hughes-and-memory/,health,manifest reality new film corey hughes memory memory release final meditation film corey hughes explores aipowered mental health game tap human emotion blurring line self screen final meditation …
How Katherine Heigl spends her 5 to 9 — from raising teens to maintaining her 100-day Peloton streak,Katherine Heigl told Business Insider how she spends the hours she's not working — including making her kids ramen so she doesn't have to cook daily.,2025-07-01T17:10:37Z,https://www.businessinsider.com/katherine-heigl-daily-routine-workout-diet-health-perimenopause-2025-6,health,katherine heigl spends 5 9 — raising teen maintaining 100day peloton streak katherine heigl told business insider spends hour shes working — including making kid ramen doesnt cook daily
Google could force more Pixels to throttle charging and capacity as they age,More Pixels could join the 9a with mandatory battery life and charging speed limitations via the Battery Health Assistance feature,2025-07-02T16:17:49Z,https://www.androidpolice.com/battery-health-assistance-pixel-phones-mandatory/,health,google could force pixel throttle charging capacity age pixel could join 9a mandatory battery life charging speed limitation via battery health assistance feature
