title,description,publishedAt,url,category
Business Class Ain’t What It Used to Be. Don’t Tell First Class,"Once a slightly fancy middle ground between first class and coach, business-class seats are getting serious upgrades. Caviar, anyone?",2025-07-02T13:00:00Z,https://www.wired.com/story/business-class-gets-upgrade/,business
Business Travel Is Evolving Faster Than Ever. We’ll Help You Navigate It,"Five years ago, work trips looked nothing like they do today. WIRED and Condé Nast Traveler have teamed up to tell you all you need to know to actually enjoy working on the go.",2025-07-02T13:00:00Z,https://www.wired.com/story/future-business-travel-editors-letter/,business
"Come for the Amenity Kits, Stay for the Flight",Airlines are wooing first-class passengers with elaborate complementary products sourced from the most luxe companies—and getting influencers’ attention in the process.,2025-07-02T13:00:00Z,https://www.wired.com/story/airline-amenity-kit-showdown/,business
Intel's New CEO Explores Big Shift In Chip Manufacturing Business,"An anonymous reader quotes a report from Reuters: Intel's new chief executive is exploring a big change to its contract manufacturing business to win major customers, two people familiar with the matter told Reuters, in a potentially expensive shift from his …",2025-07-03T00:02:00Z,https://tech.slashdot.org/story/25/07/02/2149214/intels-new-ceo-explores-big-shift-in-chip-manufacturing-business,business
Businesses are scrambling to keep themselves safe against AI's evolving threats,"Watch out for fake job candidates, fake recruiters, and fake sales. America's small business owners are being swamped by scammers.",2025-07-01T16:08:45Z,https://www.businessinsider.com/genai-fraud-trick-common-deepfake-jobs-recruiters-sales-2025-7,business
TikTok employees brace for more 'organizational and personnel changes',"TikTok told its global e-commerce staff it would announce ""organizational and personnel changes"" on Wednesday, per a memo viewed by Business Insider.",2025-07-02T03:28:15Z,https://www.businessinsider.com/tiktok-employees-organizational-personnel-changes-ecommerce-memo-2025-7,business
"Microsoft is laying off as many as 9,000 employees","Microsoft confirmed that it’s laying off as many as 9,100 employees, or about four percent of its workforce, in yet another round of cuts this year, reports the Seattle Times. Employees in Microsoft’s Xbox division, known as Microsoft Gaming, are being hit ha…",2025-07-02T13:21:37Z,https://www.theverge.com/news/693535/microsoft-layoffs-july-2025-xbox,business
'28 Years Later' actor Chi Lewis-Parry said he scared Danny Boyle into casting him as Samson the Alpha,"Chi Lewis-Parry told Business Insider that the ""28 Years Later"" director Danny Boyle told him to terrify him during his audition.",2025-07-01T16:56:31Z,https://www.businessinsider.com/28-years-later-chi-lewis-parry-samson-alpha-danny-boyle-2025-7,business
How Katherine Heigl spends her 5 to 9 — from raising teens to maintaining her 100-day Peloton streak,Katherine Heigl told Business Insider how she spends the hours she's not working — including making her kids ramen so she doesn't have to cook daily.,2025-07-01T17:10:37Z,https://www.businessinsider.com/katherine-heigl-daily-routine-workout-diet-health-perimenopause-2025-6,business
"We used ChatGPT as a stylist, and it generated custom lookbooks and color palettes. Human stylists had some thoughts.","Two Business Insider reporters asked ChatGPT to be their virtual stylist. It made some helpful suggestions, but struggled as a personal shopper.",2025-07-02T09:41:01Z,https://www.businessinsider.com/chatgpt-personal-stylist-lookbook-color-palette-ai-personal-shopper-2025-6,business
Why canned food staple Del Monte filed for bankruptcy (and won't be disappearing from shelves anytime soon),Grocery store mainstay Del Monte Foods is undergoing a restructuring to shed old debts and remain in business. That doesn't mean it's leaving shelves.,2025-07-02T17:52:32Z,https://www.businessinsider.com/del-monte-bankruptcy-food-brand-looks-to-restructure-2025-7,business
Confidence in agentic AI: Why eval infrastructure must come first,"At VentureBeat’s Transform 2025, tech leaders gathered to talk about how they're transforming their business with agents.",2025-07-02T15:41:49Z,https://venturebeat.com/ai/confidence-in-agentic-ai-why-eval-infrastructure-must-come-first/,business
"After decades on NPR, this familiar voice is retiring","NPR's Ari Shapiro and longtime newscaster Jack Speer chat about his early years covering business for the network, his retirement, and what he'll miss about covering the daily news.",2025-07-02T22:48:48Z,https://www.npr.org/2025/07/02/nx-s1-5445344/after-decades-on-npr-this-familiar-voice-is-retiring,business
Airplane Wi-Fi Is Now … Good?,"For years, in-flight internet has been fine for email, not great for Zoom meetings. That’s all changing fast.",2025-07-02T13:00:00Z,https://www.wired.com/story/airplane-wifi-good-now/,business
Laptop Mag is shutting down,"Laptop Mag is shutting down after nearly 35 years of providing consumers with in-depth information about laptops and other technology. In a staff meeting seen by The Verge, Faisal Alani, the global brand director at Laptop Mag owner Future PLC, said, “After c…",2025-07-01T17:43:47Z,https://www.theverge.com/news/695969/laptop-mag-shutdown-future-plc,business
"Rosenfeld's new Salisbury, Md., location closes permanently After eight months in business","Rosenfeld’s Jewish Delicatessen, owned by Warren Rosenfeld, has closed permanently after eight months in business in Salisbury, Maryland.",2025-07-01T15:35:55Z,https://www.delmarvanow.com/story/news/local/maryland/2025/07/01/rosenfelds-new-salisbury-md-location-falls-short-more-on-closure/84422822007/,business
Microsoft cancels its Perfect Dark and Everwild Xbox games,"Microsoft is canceling its Perfect Dark and Everwild games as part of sweeping cuts to its Xbox division. Xbox Game Studios chief Matt Booty revealed that Microsoft will be closing The Initiative, the studio behind Perfect Dark, in an internal memo to Xbox em…",2025-07-02T17:18:38Z,https://www.theverge.com/news/696877/xbox-perfect-dark-everwild-cancelled-the-initiative-layoffs,business
