title,description,publishedAt,url,category
Don’t Expect ‘Eyes of Wakanda’ to Just Be a ‘Black Panther’ Show,The showrunner of the upcoming Marvel animated show talks about what's coming to Disney+ in August.,2025-05-27T16:25:28Z,https://gizmodo.com/dont-expect-eyes-of-wakanda-to-just-be-a-black-panther-show-2000607717,entertainment
"Jussie Smollett Donates $50,000 to Arts Center to Settle Chicago’s Lawsuit","Although the actor’s conviction for filing a false police report was overturned because of a previous deal with prosecutors, the city wanted him to pay for its hate crime investigation.",2025-05-27T18:53:12Z,https://www.nytimes.com/2025/05/27/arts/television/jussie-smollett-donation-chicago-lawsuit.html,entertainment
What Is Swedish Culture? An Attempt to Answer Stirs Debate.,Is it Abba? Saunas? Plays by Strindberg? A government initiative to define an official cultural canon has unsettled many in the arts scene.,2025-05-26T11:18:00Z,https://www.nytimes.com/2025/05/26/arts/sweden-culture-canon.html,entertainment
"Free Concerts, Festivals and Events in New York This Summer","When the weather gets warm, there are hundreds of ways to have a good time in the city without laying down any cash. Here are some of our favorites.",2025-05-26T09:02:26Z,https://www.nytimes.com/2025/05/26/arts/free-concerts-festivals-movies-nyc.html,entertainment
"As George Lucas’s ‘Starship’ Museum Nears Landing, He Takes the Controls",The ‘Star Wars’ director parted ways with the museum’s top boss and is clearly calling the shots as his Museum of Narrative Art in Los Angeles approaches completion.,2025-05-26T09:00:42Z,https://www.nytimes.com/2025/05/26/arts/design/george-lucas-starship-museum-nears-landing.html,entertainment
How a High Line Curator Keeps Up With Art in Multiple Cities,Cecilia Alemani works on public art for the popular greenway in addition to curating shows in New York and Santa Fe. This is what a few days in her life look like.,2025-05-26T09:01:55Z,https://www.nytimes.com/2025/05/26/arts/design/cecilia-alemani-high-line.html,entertainment
"Robert Campbell, Architecture Critic in Love With Boston, Dies at 88","A Pulitzer Prize winner, he wrote with humanity and zest for The Boston Globe for more than 40 years.",2025-05-27T17:22:45Z,https://www.nytimes.com/2025/05/27/arts/design/robert-campbell-dead.html,entertainment
How Sex and Religion Collided in 1980s Culture,"Madonna, Scorsese, Warhol and “Piss Christ” play roles in Paul Elie’s maybe-too-comprehensive look at how divisive expressions of faith came to the fore.",2025-05-25T09:00:54Z,https://www.nytimes.com/2025/05/25/books/review/the-last-supper-paul-elie.html,entertainment
"Tony Bechara, Painter Who Championed Latino Artists, Dies at 83","He turned away from a potential career in the law or international relations to produce abstract paintings, and he headed El Museo del Barrio.",2025-05-25T20:09:01Z,https://www.nytimes.com/2025/05/25/obituaries/tony-bechara-painter-who-championed-latino-artists-dies-at-83.html,entertainment
"Corrections: May 25, 2025","Corrections that appeared in print on Sunday, May 25, 2025.",2025-05-26T13:08:22Z,https://www.nytimes.com/2025/05/26/pageoneplus/corrections-may-25-2025.html,entertainment
Dandy Attire for a Night at the Opera,Looking the part of a gentleman in a double-breasted blazer and pleated trousers.,2025-05-27T13:00:03Z,https://www.nytimes.com/2025/05/27/style/street-style-look-dandy-attire.html,entertainment
Jimmy Kimmel on Trump: ‘Celebrated the first two letters of Memorial Day this weekend’,"Late-night host discussed Donald Trump’s self-involved Memorial Day posts, a rambling commencement address and his snub of his own crypto buyers",2025-05-28T15:00:21Z,https://www.theguardian.com/culture/2025/may/28/jimmy-kimmel-trump-memorial-day,entertainment
Sudden Fear: the 1952 noir that cemented Joan Crawford’s star – again,"With this tale of love turned sour, Crawford forged an unprecedented Hollywood archetype: the now-prevalent actor-turned-executive producer",2025-05-27T15:00:19Z,https://www.theguardian.com/culture/2025/may/28/sudden-fear-the-1952-noir-that-cemented-joan-crawfords-star-again,entertainment
‘The fandom was rock’n’roll. Sophie Ellis-Bextor loved our rap song!’’ How we made Balamory,‘The theme tune was originally “What’s the Story in Tobermory?” But there was a Womble called Tobermory. So a researcher in the Gaelic department came up with Balamory’,2025-05-26T14:08:35Z,https://www.theguardian.com/culture/2025/may/26/how-we-made-balamory-sophie-ellis-bextor,entertainment
‘She’s been talking about it all year’: school at Derbyshire festival gets top grades from children,School at Bearded Theory festival allows parents to enrol children without incurring fines for absences,2025-05-26T12:00:57Z,https://www.theguardian.com/culture/2025/may/26/shes-been-talking-about-it-all-year-school-at-derbyshire-festival-gets-top-grades-from-children,entertainment
‘A steamy wrestle’: Guardian article inspires play on Shakespeare and Marlowe collaboration,"Exclusive: Born With Teeth by Liz Duffy Adams, coming to West End, imagines rival dramatists working together",2025-05-26T05:00:50Z,https://www.theguardian.com/culture/2025/may/26/guardian-article-inspires-rsc-play-shakespeare-marlowe,entertainment
