title,description,publishedAt,url,category
Silence Speaks Has Created AI-Powered Signing Avatars for the Deaf,New technology from British startup Silence Speaks enables an AI-generated sign language avatar to effectively give the deaf and hard of hearing an interpreter in their pocket.,2025-05-07T13:39:49Z,https://www.wired.com/story/silence-speaks-deaf-ai-signing/,technology
"Won’t You Be My Neighbor? No Thanks, Elon Musk.","Residents of an upscale enclave outside Austin, Texas, learned the hard way what it’s like when a multibillionaire moves into the mansion next door. Some of them have started a ruckus over it.",2025-05-05T09:01:05Z,https://www.nytimes.com/2025/05/05/technology/elon-musk-texas-neighbors.html,technology
"Uber Revenue Is Up 14%, Despite Economic Fears",The company also predicted that business in the current quarter would be stronger than Wall Street had predicted.,2025-05-07T10:55:02Z,https://www.nytimes.com/2025/05/07/technology/uber-earnings-revenue-tariffs.html,technology
New Funding Talks Could Value Elon Musk’s xAI at $120 Billion,"The discussions follow those of rival OpenAI, which recently closed a funding round that valued it at $300 billion.",2025-05-09T00:59:02Z,https://www.nytimes.com/2025/05/08/technology/xai-elon-musk-funding-value.html,technology
Google Agrees to Pay $1.4 Billion to Settle 2 Privacy Lawsuits,The Texas attorney general brought the cases in 2022 under state laws.,2025-05-10T01:39:16Z,https://www.nytimes.com/2025/05/09/technology/google-texas-privacy-settlement.html,technology
U.S. v. Google: What Both Sides Argued in a Hearing to Fix Its Search Monopoly,The Justice Department and Google have wrapped up a three-week hearing that could have a major impact on the search giant and how people gather information online.,2025-05-09T09:02:07Z,https://www.nytimes.com/2025/05/09/technology/google-chrome-monopoly-remedies.html,technology
Meta Awarded $167 Million in Damages From Israeli Cybersecurity Firm,"Meta had sued the firm, NSO Group, for using its spyware to hack 1,400 WhatsApp accounts belonging to journalists, dissidents and others.",2025-05-06T23:40:25Z,https://www.nytimes.com/2025/05/06/technology/nso-meta-damages-whatsapp.html,technology
OpenAI Backtracks on Plans to Drop Nonprofit Control,The company will become a public benefit corporation and the nonprofit that has controlled it will be its largest shareholder.,2025-05-05T18:54:18Z,https://www.nytimes.com/2025/05/05/technology/openai-nonprofit.html,technology
How Apple Created a Legal Mess When It Skirted a Judge’s Ruling,"Court documents show the company commissioned a sham report and lied on the stand to justify its actions, which will cast a shadow over future lawsuits.",2025-05-09T09:01:52Z,https://www.nytimes.com/2025/05/09/technology/apple-app-store-antitrust.html,technology
Your iPhone Apps Are Changing. Here’s How and Why.,A federal judge’s recent ruling has made it possible for apps to sell software and subscriptions outside the App Store without having to pay a commission.,2025-05-09T09:01:58Z,https://www.nytimes.com/2025/05/09/technology/iphone-app-store-changes.html,technology
